,number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp
63,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.0
64,4,97.4816,790.9,167.0,4760.35725,82.3375,7.2555,114.256645,2.25,88.0
65,4,97.9598,768.4,165.75,5578.10725,82.3375,10.8305,108.506645,2.25,71.9
66,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,81.0
67,4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,28.0
68,4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,34.7
69,5,70.787574,761.2,156.6,4448.8858,65.506,9.2644,94.005316,2.6,21.0
70,5,71.402474,759.66,155.6,4769.4858,74.106,10.0844,95.805316,2.8,12.0
71,5,71.613394,760.12,154.6,4985.4858,76.846,9.6244,108.405316,3.0,22.0
72,5,72.201783,773.0,153.6,5041.4858,63.986,8.1644,91.145316,2.6,32.0
73,5,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,30.0
74,5,73.000813,781.26,151.8,5327.4858,76.726,8.7644,109.605316,2.6,16.0
75,5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,21.0
76,5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,29.0
77,5,89.395704,734.96,170.8,4875.4858,73.986,6.9044,92.205316,2.6,36.0
78,5,90.062574,735.94,162.6,4949.4858,73.986,6.9444,93.005316,2.4,35.0
79,5,91.286174,737.66,169.0,5018.0858,73.986,7.2244,92.205316,2.4,32.0
80,5,92.664174,748.48,168.0,5127.6858,73.986,7.5244,91.805316,2.4,30.0
81,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,51.0
82,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,33.0
83,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,82.0
84,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,60.0
85,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,54.0
86,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,90.0
87,5,67.56865,835.0,149.0,3780.6858,102.09,6.8904,87.046316,3.0,90.0
88,5,68.24625,886.18,147.4,3389.3286,131.89,7.1844,87.007096,2.8,72.0
89,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.0
90,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,93.0
91,4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,94.5
92,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.85
93,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.95
94,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,89.7
95,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,89.9
96,4,95.45068,783.65,168.0,5316.60725,82.3375,9.5805,108.506645,2.25,85.0
97,5,92.60565,754.04,178.2,4968.8858,72.09,8.5444,89.205316,2.4,90.5
98,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,130.0
99,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,88.8
100,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,85.5
101,5,79.736926,767.92,171.2,5102.6858,79.31,11.9044,97.805316,2.8,77.3
102,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,69.0
103,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,84.3
104,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,86.4
105,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,88.8
106,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,73.6
107,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,62.5
108,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,93.1
109,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.0
110,4,94.03645,827.5,138.75,5342.85725,90.4075,8.0555,110.756645,2.75,22.0
111,4,94.03645,827.5,138.75,5342.85725,90.4075,8.0555,110.756645,2.75,6.5
112,4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,85.5
113,4,95.45068,783.65,168.0,5316.60725,82.3375,9.5805,108.506645,2.25,91.0
114,4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,93.0
115,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,95.0
116,4,92.2091,776.875,169.25,4428.85725,82.3375,7.6555,108.006645,2.25,89.5
117,4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,92.5
118,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,90.0
119,4,97.4816,790.9,167.0,4760.35725,82.3375,7.2555,114.256645,2.25,90.0
120,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.6
121,5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,63.9
122,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,88.0
123,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,75.0
124,4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,39.3
125,5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,22.6
126,5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,4.2
127,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,82.0
128,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,51.0
129,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,45.0
130,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,45.0
131,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,20.0
132,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.4
133,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.6
134,4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,86.0
135,5,61.357238,897.46,142.2,3388.70378,76.65,6.656,87.041416,2.0,92.5
136,5,61.357238,897.46,142.2,3388.70378,76.65,6.656,87.041416,2.0,93.6
137,5,61.357238,897.46,142.2,3388.70378,76.65,6.656,87.041416,2.0,93.2
138,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,90.0
139,4,92.2091,776.875,169.25,4428.85725,82.3375,7.6555,108.006645,2.25,94.9
140,4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,93.8
141,4,94.8431,781.9,168.5,5255.60725,82.3375,8.1055,107.256645,2.25,92.7
142,4,95.45068,783.65,168.0,5316.60725,82.3375,9.5805,108.506645,2.25,92.9
143,4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,92.4
144,4,96.4516525,787.4,167.0,5447.85725,82.3375,9.5305,108.756645,2.25,92.5
145,4,97.4816,790.9,167.0,4760.35725,82.3375,7.2555,114.256645,2.25,87.0
146,4,97.9598,768.4,165.75,5578.10725,82.3375,10.8305,108.506645,2.25,89.5
147,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,93.4
148,4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,95.3
149,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,93.5
150,4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,37.1
151,4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,33.0
152,5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,65.0
153,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,30.0
154,5,82.72929,781.3,164.6,5486.6858,87.21,8.8044,173.005316,2.0,86.0
155,5,100.17245,808.82,167.0,7678.6858,103.15,10.5444,101.205316,3.0,81.0
156,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,36.0
157,5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,71.0
158,5,72.143259,778.56,163.8,4882.6858,62.09,9.1844,88.545316,2.6,63.0
159,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,57.0
160,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,36.0
161,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,88.0
162,5,62.54385,739.18,165.0,3495.6858,74.01,7.1444,104.005316,2.0,62.0
163,5,62.54385,739.18,165.0,3495.6858,74.01,7.1444,104.005316,2.0,33.0
164,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,50.0
165,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,57.0
166,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,4.0
167,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.0
168,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,74.0
169,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,59.0
170,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,61.0
171,5,64.95533064,971.2,140.0,3389.025,127.69,6.5964,87.010856,2.0,90.5
172,5,64.95533064,971.2,140.0,3389.025,127.69,6.5964,87.010856,2.0,90.3
173,5,64.95533064,971.2,140.0,3389.025,127.69,6.5964,87.010856,2.0,93.4
174,5,64.95533064,971.2,140.0,3389.025,127.69,6.5964,87.010856,2.0,92.2
175,5,64.95533064,971.2,140.0,3389.025,127.69,6.5964,87.010856,2.0,91.6
176,5,64.95533064,971.2,140.0,3389.025,127.69,6.5964,87.010856,2.0,90.8
177,5,64.95533064,971.2,140.0,3389.025,127.69,6.5964,87.010856,2.0,92.1
178,5,64.95533064,971.2,140.0,3389.025,127.69,6.5964,87.010856,2.0,92.5
179,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,86.0
180,4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,87.0
181,4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,90.0
182,4,94.8431,781.9,168.5,5255.60725,82.3375,8.1055,107.256645,2.25,92.0
183,4,95.45068,783.65,168.0,5316.60725,82.3375,9.5805,108.506645,2.25,90.0
184,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.0
185,4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,34.0
186,5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,30.5
187,5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,30.5
188,5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,23.0
189,5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,24.0
190,5,92.26674,747.78,159.2,5174.2858,60.484,6.8124,132.805316,2.2,110.0
191,5,92.26674,747.78,159.2,5174.2858,60.484,6.8124,132.805316,2.2,110.0
192,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,93.5
193,5,70.72905,766.76,166.8,4290.0858,63.61,10.2844,91.405316,2.6,94.0
194,5,70.72905,766.76,166.8,4290.0858,63.61,10.2844,91.405316,2.6,92.5
195,5,70.72905,766.76,166.8,4290.0858,63.61,10.2844,91.405316,2.6,92.5
196,5,70.72905,766.76,166.8,4290.0858,63.61,10.2844,91.405316,2.6,93.5
197,5,70.72905,766.76,166.8,4290.0858,63.61,10.2844,91.405316,2.6,88.0
198,5,70.72905,766.76,166.8,4290.0858,63.61,10.2844,91.405316,2.6,83.5
199,5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,110.0
200,5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,75.0
201,5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,104.0
202,5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,106.0
203,5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,15.0
204,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.5
205,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,54.0
206,5,71.55487,765.68,164.8,4826.6858,74.95,10.6444,105.805316,3.0,62.0
207,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.0
208,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,91.8
209,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,91.8
210,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,76.0
211,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,49.0
212,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,31.0
213,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,91.0
214,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,92.0
215,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,85.0
216,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,73.0
217,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,42.0
218,5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,55.0
219,5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,45.0
220,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,93.4
221,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,94.3
222,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,73.0
223,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,53.0
224,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,22.0
225,5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,40.0
226,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,55.0
227,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,45.0
228,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,45.0
229,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.0
230,4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,96.4
231,5,92.34848,740.76,179.6,4600.4858,67.176,7.8644,92.805316,2.2,94.7
232,5,92.34848,740.76,179.6,4600.4858,67.176,7.8644,92.805316,2.2,92.4
233,5,92.34848,740.76,179.6,4600.4858,67.176,7.8644,92.805316,2.2,89.4
234,5,92.34848,740.76,179.6,4600.4858,67.176,7.8644,92.805316,2.2,90.7
235,5,92.34848,740.76,179.6,4600.4858,67.176,7.8644,92.805316,2.2,88.6
236,4,60.36015982,773.7,144.5,4018.85725,91.55,5.5555,138.256645,2.0,16.0
237,4,60.36015982,773.7,144.5,4018.85725,91.55,5.5555,138.256645,2.0,18.0
238,5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,75.0
239,5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,70.0
240,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.3
241,4,95.45068,783.65,168.0,5316.60725,82.3375,9.5805,108.506645,2.25,92.1
242,4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,92.6
243,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,88.1
244,4,92.2091,776.875,169.25,4428.85725,82.3375,7.6555,108.006645,2.25,94.0
245,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,79.0
246,4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,82.5
247,5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,105.0
248,4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,35.7
249,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,75.0
250,5,85.99348,782.78,167.0,5649.2858,69.31,9.0244,101.605316,2.4,42.0
251,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,94.5
252,4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,90.0
253,5,111.43708,748.92,178.8,5621.4858,76.17,9.7844,94.405316,2.4,87.6
254,5,111.43708,748.92,178.8,5621.4858,76.17,9.7844,94.405316,2.4,88.3
255,5,111.43708,748.92,178.8,5621.4858,76.17,9.7844,94.405316,2.4,89.3
256,5,111.43708,748.92,178.8,5621.4858,76.17,9.7844,94.405316,2.4,87.8
257,5,111.43708,748.92,178.8,5621.4858,76.17,9.7844,94.405316,2.4,86.3
258,4,97.4816,790.9,167.0,4760.35725,82.3375,7.2555,114.256645,2.25,88.5
259,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,90.0
260,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,66.0
261,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,44.0
262,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,22.0
263,5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,80.0
264,5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,73.0
265,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,88.0
266,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,50.0
267,5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,15.0
268,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,58.0
269,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,50.0
270,4,94.8431,781.9,168.5,5255.60725,82.3375,8.1055,107.256645,2.25,91.2
271,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,90.8
272,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.5
273,4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,40.0
274,5,75.10025,750.94,158.8,4569.4858,67.87,7.6624,92.805316,2.4,87.0
275,5,75.10025,750.94,158.8,4569.4858,67.87,7.6624,92.805316,2.4,75.0
276,5,75.10025,750.94,158.8,4569.4858,67.87,7.6624,92.805316,2.4,66.0
277,4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.0
278,5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,70.0
279,4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,94.7
280,4,92.2091,776.875,169.25,4428.85725,82.3375,7.6555,108.006645,2.25,94.5
281,4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,90.0
282,4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,60.0
283,4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,86.0
284,4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,20.0
285,5,80.34765,772.16,169.6,5444.6858,76.47,13.7444,114.805316,3.0,76.0
286,5,80.34765,772.16,169.6,5444.6858,76.47,13.7444,114.805316,3.0,63.0
287,5,80.34765,772.16,169.6,5444.6858,76.47,13.7444,114.805316,3.0,52.5
288,5,80.34765,772.16,169.6,5444.6858,76.47,13.7444,114.805316,3.0,50.0
289,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,79.0
290,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,62.0
291,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,52.0
292,5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,38.0
293,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,81.0
294,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,58.0
295,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,42.0
296,5,66.55195772,750.64,155.2,3928.6858,70.59,8.6844,134.005316,2.4,33.0
297,5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,91.0
298,5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,88.0
299,5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,76.0
300,5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,64.0
